name,spreading_factor,bandwidth_hz,coding_rate,power_dbm,payload_length,preamble_symbols,crc_enabled,iq_inverted,packet_count,capture_bytes,sha256,estimated_snr_db,cfo_hz,packet_start_seconds,packet_end_seconds
baseline-sf7-bw125,7,125000,4/5,-9,32,12,True,False,10,48000000,8acb4e822737743f613902b6766132a820042d4f6df5618ac23ecc6df8a802da,49.75743948368706,941.6906772851944,0.186,0.262999
sf5-bw125,5,125000,4/5,-9,32,12,True,False,30,96000000,e9e0fd2a5499eff6285aa84d40815b929e551f4d9cc4535d0277ff48d7c22b4c,38.445211718057976,60807.11772894859,2.449,4.003499
sf6-bw125,6,125000,4/5,-9,32,12,True,False,30,112000000,94463a6976ade6c82376419b19d9a9acb0c469be21094358f80a0c0b8b6d3b12,48.748347128651154,1499.1150332689285,8.0625,8.107499
sf7-bw500-fs4m,7,500000,4/5,-9,32,12,True,False,10,144000000,31321ba47d3ae68bf1595c8716040619084db5dfffd5bd5ff360d4d3573fdbb1,44.628035065667184,3606.282887816429,2.6365,2.65649975
toa-sf7-bw125,7,125000,4/5,-9,32,12,True,False,50,152000000,80f651cfa3c2fe03e3f2401d08b556ee24e3e0f622399e3725d216c5f800d7fd,48.994129873828456,910.8267152309418,1.3025,1.379499
