Name,SF,BandwidthHz,CodingRate,Transmissions,ActivityCandidates,AcquiredPackets,HeaderValidPackets,CrcValidPackets,PayloadMatchedPackets,SoftRecoveredPackets,PacketErrors,PER,PreFecBitErrors,PreFecBits,PreFecBER,PayloadBitErrors,PayloadBits,PayloadBER
baseline-sf7-bw125,7,125000,5,10,10,10,10,10,10,1,0,0,69,3500,0.0197142857142857,0,2560,0
sf5-bw125,5,125000,5,30,30,30,28,26,26,1,4,0.133333333333333,229,9800,0.0233673469387755,543,7680,0.070703125
sf6-bw125,6,125000,5,30,30,30,30,26,26,0,4,0.133333333333333,536,10800,0.0496296296296296,60,7680,0.0078125
sf7-bw500-fs4m,7,500000,5,10,10,10,10,10,10,0,0,0,60,3500,0.0171428571428571,0,2560,0
toa-sf7-bw125,7,125000,5,50,50,50,50,47,47,6,3,0.06,429,17500,0.0245142857142857,41,12800,0.003203125
