SNR_dB,Packets,PayloadBytes,SymbolErrors,Symbols,PreFecBitErrors,PreFecBits,PayloadBitErrors,PayloadBits,PacketErrors,HeaderFailures,CrcFailures,SER,PreFecBER,PayloadBER,PER
-20,100,16,5092,5600,17168,37600,12800,12800,100,100,0,0.909285714285714,0.456595744680851,1,1
-18,100,16,4717,5600,15977,37600,12800,12800,100,99,1,0.842321428571429,0.424920212765957,1,1
-16,100,16,3841,5600,12971,37600,12800,12800,100,99,1,0.685892857142857,0.344973404255319,1,1
-14,100,16,2649,5600,9007,37600,11896,12800,100,86,13,0.473035714285714,0.239547872340426,0.929375,1
-12,100,16,1162,5600,3983,37600,5362,12800,99,36,62,0.2075,0.10593085106383,0.41890625,0.99
-10,100,16,220,5600,744,37600,306,12800,16,2,14,0.0392857142857143,0.0197872340425532,0.02390625,0.16
-8,100,16,10,5600,33,37600,0,12800,0,0,0,0.00178571428571429,0.000877659574468085,0,0
-6,100,16,0,5600,0,37600,0,12800,0,0,0,0,0,0,0
