WordLength,Cases,SymbolMatches,WorstRelativeRms,WorstConfidenceAbsError,SmallestDecisionMargin
8,15,15,1.17976510506329,0.3628258946518,0.16
10,15,15,0.292212565769764,0.174809195550972,0.22707423580786
12,15,15,0.0733397787324914,0.0860416081752887,0.231693989071038
14,15,15,0.0180515537554799,0.0278140691127887,0.236046828205826
16,15,15,0.00456051485429847,0.00745884450341372,0.237330793823549
18,15,15,0.00114227095166996,0.00204930491966271,0.237444941412561
