Case,Stage,Elements,MaxAbsError,RmsError,ReferenceRms,RelativeRms
sf5-l4-awgn,magnitudeSquared,32,7.27595761418343e-12,1.34609783487624e-12,3354.50003844629,4.01281210150089e-16
sf9-l2-clean,fftM,1024,3.5527136788005e-14,1.17416529126798e-14,32,3.66926653521242e-16
sf9-l2-clean,product,1024,1.83314517660132e-12,4.53002360741329e-13,1448.13908682768,3.12816886763056e-16
sf9-l2-clean,partition,512,1.83314517660132e-12,6.45430872564905e-13,2062.32553178815,3.12962654351314e-16
sf9-l2-clean,fftN,512,3.90861529380788e-13,2.44651291395907e-14,45.5713865169237,5.3685285898653e-16
sf9-l2-clean,magnitudeSquared,512,2.89901436190121e-12,1.96258289148685e-13,46341.0296851242,4.23508693013969e-18
sf9-l2-combined,fftM,1024,4.66272522757787e-14,1.65466840409571e-14,42.0519313223043,3.93482142690098e-16
sf9-l2-combined,product,1024,2.28507715772159e-12,6.16392847269451e-13,1631.97155409429,3.77698278945516e-16
sf9-l2-combined,partition,512,2.44888943013143e-12,8.74788031973363e-13,2302.85852240884,3.7987050592162e-16
sf9-l2-combined,fftN,512,1.70530256582424e-13,2.60612347725392e-14,50.8864649158914,5.12144728772473e-16
sf9-l2-combined,magnitudeSquared,512,2.3283064365387e-10,1.06875329412509e-11,24087.5344830293,4.4369559486384e-16
sf10-l1-clean,fftM,1024,3.27544017057338e-14,1.18148674788722e-14,32,3.69214608714755e-16
sf10-l1-clean,product,1024,1.07852804154676e-12,3.82843857751093e-13,1024,3.73870954835052e-16
sf10-l1-clean,partition,1024,1.07852804154676e-12,3.82843857751093e-13,1024,3.73870954835052e-16
sf10-l1-clean,fftN,1024,4.28254918743136e-13,1.99429498924224e-14,32,6.23217184138201e-16
sf10-l1-clean,magnitudeSquared,1024,3.46501203482853e-25,1.59848681020956e-26,32768,4.87819461123523e-31
sf12-l1-clean,fftM,4096,7.62799976200195e-14,2.59278634991508e-14,64,4.05122867174231e-16
sf12-l1-clean,product,4096,4.83403064787792e-12,1.68354043739529e-12,4096,4.11020614598459e-16
sf12-l1-clean,partition,4096,4.83403064787792e-12,1.68354043739529e-12,4096,4.11020614598459e-16
sf12-l1-clean,fftN,4096,2.57249347690808e-12,5.33367819028476e-14,64,8.33387217231994e-16
sf12-l1-clean,magnitudeSquared,4096,6.22633316660311e-24,3.20873024899407e-25,262144,1.22403345069659e-30
