SamplesPerChip,TargetBER,LegacyPolyphaseSNR_dB,FftCorrelatorSNR_dB,MatchedFilterSNR_dB,LegacyGap_dB,CurrentGap_dB
1,0.01,-9.51446705620222,-9.51446705620222,-9.51446705620222,0,0
1,0.001,-7.95067633625948,-7.95067633625948,-7.95067633625948,0,0
2,0.01,-8.21920550147275,-12.5647717955148,-12.5647717955148,4.34556629404202,0
2,0.001,-4.43349405711314,-10.8627353707339,-10.8627353707339,6.42924131362073,0
4,0.01,-10.9922494948002,-15.5235535934849,-15.5235535934849,4.53130409868471,0
4,0.001,-7.97375514646967,-13.9662984536653,-13.9662984536653,5.99254330719565,0
8,0.01,-13.3796313476478,-18.7137231853933,-18.7137231853933,5.33409183774552,0
8,0.001,-10.906304904801,-16.9399867887391,-16.9399867887391,6.03368188393811,0
