WordLength,Case,SF,L,M,SymbolsMatch,MatlabSymbols,FixedSymbols,ConfidenceAbsError,WorstRelativeRms,WorstMaxAbsError,DecisionMargin,InputType,ReferenceType,ProductType,AccumulatorType,FftNType,MagnitudeType,FftMOutputWordLength,FftNOutputWordLength
8,sf5-l4-awgn,5,4,128,1,30,30,0.0215635999460747,0.190208253666036,1757.97298057978,0.84375,sfix8_En3,sfix8_En1,sfix8_En-5,sfix8_En-5,sfix8_En-2,ufix8_En-8,15,13
8,sf5-l8-clean,5,8,256,1,[17 3],[17 3],0.0638694818523902,0.124243919776304,2048.00000000001,0.992424242424242,sfix8_En6,sfix8_En0,sfix8_En-6,sfix8_En-6,sfix8_En-2,ufix8_En-9,16,13
8,sf7-l1-clean,7,1,128,1,[0 45 127],[0 45 127],0,0.199282567392802,512.000000000007,1,sfix8_En6,sfix8_En2,sfix8_En-2,sfix8_En-2,sfix8_En-1,ufix8_En-7,15,15
8,sf7-l2-clean,7,2,256,1,[13 100],[13 100],0.0271482546337449,0.167471082738597,119.129127319973,1,sfix8_En6,sfix8_En1,sfix8_En-4,sfix8_En-4,sfix8_En-2,ufix8_En-9,16,15
8,sf7-l4-clean,7,4,512,1,63,63,0.0306354846273612,0.17507906145728,8192,1,sfix8_En6,sfix8_En0,sfix8_En-6,sfix8_En-6,sfix8_En-3,ufix8_En-11,17,15
8,sf7-l8-clean,7,8,1024,1,1,1,0.0314557194742773,0.327281429191102,65536,0.983333333333333,sfix8_En2,sfix8_En-1,sfix8_En-9,sfix8_En-9,sfix8_En-4,ufix8_En-13,18,15
8,sf7-l8-awgn-p00,7,8,1024,1,77,77,0.130963483175289,0.311794763179991,23205.8063220067,0.983333333333333,sfix8_En2,sfix8_En-1,sfix8_En-9,sfix8_En-9,sfix8_En-4,ufix8_En-13,18,15
8,sf7-l8-awgn-m10,7,8,1024,1,77,77,0.3628258946518,0.223337761885373,33884.0235888261,0.910714285714286,sfix8_En2,sfix8_En-1,sfix8_En-9,sfix8_En-9,sfix8_En-4,ufix8_En-13,18,15
8,sf7-l8-cfo,7,8,1024,1,34,34,0.0694075250518313,0.329022579066005,60814.8166622508,0.16,sfix8_En2,sfix8_En-1,sfix8_En-9,sfix8_En-9,sfix8_En-4,ufix8_En-13,18,15
8,sf7-l8-timing,7,8,1024,1,32,32,0.114226576817088,0.338928716436531,107091.471874621,0.8,sfix8_En2,sfix8_En-1,sfix8_En-9,sfix8_En-9,sfix8_En-4,ufix8_En-13,18,15
8,sf7-l8-combined,7,8,1024,1,[31 95],[31 95],0.304440516749725,0.278777481302931,31659.1046119094,0.818181818181818,sfix8_En2,sfix8_En-1,sfix8_En-9,sfix8_En-9,sfix8_En-4,ufix8_En-13,18,15
8,sf9-l2-clean,9,2,1024,1,300,300,0.0138443488649752,0.394313572473814,8190.26689501653,0.9921875,sfix8_En4,sfix8_En0,sfix8_En-7,sfix8_En-7,sfix8_En-4,ufix8_En-13,18,17
8,sf9-l2-combined,9,2,1024,1,2,2,0.174809195550972,0.301740813739057,48276.2324080417,0.229166666666667,sfix8_En4,sfix8_En0,sfix8_En-7,sfix8_En-7,sfix8_En-4,ufix8_En-13,18,17
8,sf10-l1-clean,10,1,1024,1,1000,1000,0,0.584633966683427,32768,1,sfix8_En6,sfix8_En0,sfix8_En-5,sfix8_En-5,sfix8_En-4,ufix8_En-13,18,18
8,sf12-l1-clean,12,1,4096,1,4095,4095,0,1.17976510506329,524288,1,sfix8_En6,sfix8_En-1,sfix8_En-7,sfix8_En-7,sfix8_En-6,ufix8_En-17,20,20
10,sf5-l4-awgn,5,4,128,1,30,30,0.0274229749460747,0.0463051651240037,237.967624427159,0.857142857142857,sfix10_En5,sfix10_En3,sfix10_En-3,sfix10_En-3,sfix10_En0,ufix10_En-6,17,15
10,sf5-l8-clean,5,8,256,1,[17 3],[17 3],0.0384788568523902,0.056688611243327,3584.00000000001,0.988888888888889,sfix10_En8,sfix10_En2,sfix10_En-4,sfix10_En-4,sfix10_En0,ufix10_En-7,18,15
10,sf7-l1-clean,7,1,128,1,[0 45 127],[0 45 127],0,0.0504294706537427,128.000000000007,1,sfix10_En8,sfix10_En4,sfix10_En0,sfix10_En0,sfix10_En1,ufix10_En-5,17,17
10,sf7-l2-clean,7,2,256,1,[13 100],[13 100],0.0271482546337449,0.0444766145212288,119.129127319973,1,sfix10_En8,sfix10_En3,sfix10_En-2,sfix10_En-2,sfix10_En0,ufix10_En-7,18,17
10,sf7-l4-clean,7,4,512,1,63,63,0.0306354846273612,0.0522169506790062,6144,0.998091603053435,sfix10_En8,sfix10_En2,sfix10_En-4,sfix10_En-4,sfix10_En-1,ufix10_En-9,19,17
10,sf7-l8-clean,7,8,1024,1,1,1,0.0314557194742773,0.0997599982831957,24576,0.998091603053435,sfix10_En4,sfix10_En1,sfix10_En-7,sfix10_En-7,sfix10_En-2,ufix10_En-11,20,17
10,sf7-l8-awgn-p00,7,8,1024,1,77,77,0.130963483175289,0.0934046853771107,6821.80632200674,0.993852459016393,sfix10_En4,sfix10_En1,sfix10_En-7,sfix10_En-7,sfix10_En-2,ufix10_En-11,20,17
