WordLength,Case,Stage,Elements,MaxAbsError,RmsError,ReferenceRms,RelativeRms
8,sf5-l4-awgn,fftM,128,11.2288349126949,1.26593466147483,24.4121639589324,0.051856716332254
8,sf5-l4-awgn,product,128,250.349484369011,39.4027762286566,386.128887740966,0.10204565749841
8,sf5-l4-awgn,partition,32,207.571605132099,110.663129652787,785.353638196986,0.140908661105648
8,sf5-l4-awgn,fftN,32,25.445966113991,6.6017585677199,34.7080551999134,0.190208253666036
8,sf5-l4-awgn,magnitudeSquared,32,1757.97298057978,398.66108698263,3354.50003844629,0.118843667435842
8,sf5-l8-clean,fftM,512,2.96764535133204,0.286991239087473,16,0.0179369524429671
8,sf5-l8-clean,product,512,158.871358817675,46.901798457462,733.736671666511,0.0639218404484753
8,sf5-l8-clean,partition,64,312.303512896606,198.212210611944,2116.71189570422,0.0936415631311033
8,sf5-l8-clean,fftN,64,25.6283073008274,5.81128157453903,46.7731667272089,0.124243919776304
8,sf5-l8-clean,magnitudeSquared,64,2048.00000000001,400.794200727592,11587.3010182566,0.0345890902545911
8,sf7-l1-clean,fftM,384,1.28239278304273,0.176678551137431,11.3137084989848,0.0156163251999365
8,sf7-l1-clean,product,384,12.6491106406742,5.11534692408881,128,0.0399636478444439
8,sf7-l1-clean,partition,384,12.6491106406742,5.11534692408881,128,0.0399636478444439
8,sf7-l1-clean,fftN,384,6.32455532033677,2.25462487641145,11.3137084989848,0.199282567392802
8,sf7-l1-clean,magnitudeSquared,384,512.000000000007,45.2548339959395,1448.15468787005,0.0312500000000003
8,sf7-l2-clean,fftM,512,2.60348974740232,0.270746244198059,16,0.0169216402623787
8,sf7-l2-clean,product,512,51.3622690359832,18.1302269857004,362.007614694294,0.0500824464728756
8,sf7-l2-clean,partition,256,58.2475543376809,30.7695202343687,519.094741907937,0.0592753456166308
8,sf7-l2-clean,fftN,256,16.0599787219736,3.8419479553957,22.9409632550864,0.167471082738597
8,sf7-l2-clean,magnitudeSquared,256,119.129127319973,30.6883240282046,5792.7000417104,0.00529775817964558
8,sf7-l4-clean,fftM,512,5.54165020326729,0.401634682742659,22.6274169979695,0.0177499129829401
8,sf7-l4-clean,product,512,267.178180110325,61.4652918616658,1027.72121306502,0.0598073593113402
8,sf7-l4-clean,partition,128,276.426075483127,171.310778970532,2080.11043834889,0.0823565786759436
8,sf7-l4-clean,fftN,128,40.8155664482021,8.04740071096701,45.9643811429194,0.17507906145728
8,sf7-l4-clean,magnitudeSquared,128,8192,736.293079957217,23170.8599646106,0.0317766833463141
8,sf7-l8-clean,fftM,1024,180.022109798084,7.33026564126989,32,0.229070801289684
8,sf7-l8-clean,product,1024,15770.8923139769,651.937237914755,2909.39657739238,0.224079880680643
8,sf7-l8-clean,partition,128,15843.9339438596,1949.49615554396,8323.96419015868,0.234202852271856
8,sf7-l8-clean,fftN,128,130.219716154456,30.0993137764592,91.9676800814874,0.327281429191102
8,sf7-l8-clean,magnitudeSquared,128,65536,5994.23593595129,92683.496366683,0.0646742534640292
8,sf7-l8-awgn-p00,fftM,1024,180.378987780268,7.25632499066378,44.6007590890643,0.16269510068592
8,sf7-l8-awgn-p00,product,1024,16021.858954185,641.805550343266,3010.31916634155,0.213201828403882
