Target,Part,ProbePeriodNs,PowerClockMHz,InputTogglePercent,JunctionTemperatureC,RouteComplete,LUTs,Registers,BramTiles,DSPs,Carry4,SetupWnsNs,HoldWnsNs,AchievedPeriodNs,FmaxMHz,CriticalDataPathDelayNs,CriticalLogicDelayNs,CriticalNetDelayNs,CriticalStartpoint,CriticalEndpoint,TotalOnChipPowerW,DynamicPowerW,DeviceStaticPowerW,PowerReportResolutionW,PowerConfidenceMedium,PowerMethod
fft-correlator-fixed,xc7z020clg484-1,5,4,12.5,25,1,13837,15303,8,34,1064,-11.59,0.009,16.59,60.2772754671489,16.685,8.425,8.26,u_dut/u_BinCounter/counter_reg[2]/C,u_dut/AccumDelay_reg_re_reg[31][6]_srl32_u_dut_AccumDelay_reg_im_reg_c_63/D,0.11,0.007,0.102,0.001,1,vectorless
toa-interpolator,xc7z020clg484-1,5,4,12.5,25,1,763,507,0,0,70,-2.705,0.059,7.705,129.785853341986,7.568,1.324,6.244,u_dut/u_ToaInterpolator/state_reg[2]_replica/C,u_dut/u_ToaInterpolator/logBReg_reg[7]/D,0.102,0,0.102,0.001,1,vectorless
