NoiseStdNanoseconds,CalibrationErrorStdNanoseconds,Trials,Converged,ConvergenceRate,RmseMeters,MedianErrorMeters,P95ErrorMeters,OutlierRate,ResidualRmsNanoseconds
0.2,0,1000,1000,1,0.0632963825913201,0.0524999690625333,0.10915649432304,0,0.226893156742756
1,0,1000,1000,1,0.310314939674818,0.257140759265093,0.537266605517074,0,1.14086715207775
5,0,1000,1000,1,1.58146169860419,1.32578965216071,2.71312230246478,0,5.83597671615165
