SnrDb,SampleRateHz,Trials,BiasSamples,StdSamples,RmsSamples,P95AbsoluteSamples,StdMetres,P95Metres,CoarseStepMetres
20,250000,200,0.000706915614594266,0.00708886818414524,0.00710637189835171,0.0116825898633124,8.5007568694516,14.0094093237132,1199.169832
10,250000,200,0.000662942057321914,0.00883021095376762,0.00883302069124508,0.0169291701503198,10.5889225859541,20.3009501250584,1199.169832
0,250000,200,0.000565658839544341,0.0191256225175509,0.0190861326471128,0.0411259502689063,22.9348695412669,49.3169988748047,1199.169832
-5,250000,200,0.000530014567432175,0.0326141830719794,0.0325368626054666,0.0679837901356564,39.1099444352428,81.5241101956983,1199.169832
-10,250000,200,0.000641788291476928,0.0572343989713245,0.0570947408759492,0.118562338581683,68.6337645990642,142.176379638523,1199.169832
