waveform,doppler_hz,peak_delay_samples,peak_delay_us,one_way_bias_m,normalized_peak,peak_loss_db
lfm,-500.0,4.072491707733889,4.072491707733889,1220.90229924616,0.9958783404902792,-0.035874261263323076
lfm,-475.0,3.87182705428836,3.87182705428836,1160.7445495560069,0.9957710849197521,-0.03680977736136865
lfm,-450.0,3.6682099075385395,3.6682099075385395,1099.7016646409313,0.9935348766612472,-0.056337659645553574
lfm,-425.0,3.457984658009991,3.457984658009991,1036.6777203511047,0.9912432396150641,-0.0763952319813245
lfm,-400.0,3.2515160329915034,3.2515160329915034,974.7799837569319,0.9951605621566904,-0.04213686482365169
lfm,-375.0,3.0500029319671285,3.0500029319671285,914.3678758816322,0.9969487844841708,-0.026543036118529244
lfm,-350.0,2.84922257086464,2.84922257086464,854.1754379085896,0.9966010107726971,-0.0295735338916075
lfm,-325.0,2.645010973968965,2.645010973968965,792.95434132313,0.9941185822339825,-0.051236164403555357
lfm,-300.0,2.434440529542826,2.434440529542826,729.8269102064654,0.9927504657459075,-0.06319801032152485
lfm,-275.0,2.2287433564345065,2.2287433564345065,668.1604490766707,0.9964398530366974,-0.03097821990450725
lfm,-250.0,2.0275248474565615,2.0275248474565615,607.8366576750775,0.9979927025895972,-0.017452686009229827
lfm,-225.0,1.826576359313549,1.8265763593135491,547.5938164833,0.9974030143758275,-0.022586471604970446
lfm,-200.0,1.6217127742795583,1.6217127742795583,486.17725877126793,0.9946730670073145,-0.04639282782400224
lfm,-175.0,1.4110065253360062,1.4110065253360062,423.00911448452064,0.9942339641100648,-0.050228099465724006
lfm,-150.0,1.20602702129122,1.20602702129122,361.5578051273132,0.9976938564103742,-0.02005404135652519
lfm,-125.0,1.005051719926314,1.005051719926314,301.3069255338373,0.9990098544379797,-0.008604555661960802
lfm,-100.0,0.8038822198748221,0.8038822198748221,240.9978266387694,0.9981768632855402,-0.015850017065153692
lfm,-86.8600903895988,0.6966587706078826,0.6966587706078826,208.85304522779526,0.9968782204955835,-0.027157844741359603
lfm,-75.0,0.5983081348274482,0.5983081348274482,179.3682663813161,0.9951981079807379,-0.04180916621437173
lfm,-50.0,0.3911403211901643,0.3911403211901643,117.26091831250884,0.9956934829508532,-0.03748670844893875
lfm,-25.0,0.19356510855811848,0.19356510855811848,58.029359677675174,0.9989223256239563,-0.009365608140950214
lfm,0.0,0.0,0.0,0.0,1.0000000000000002,1.928654933106574e-15
lfm,25.0,-0.19356510855811848,-0.19356510855811848,-58.029359677675174,0.9989223256239563,-0.009365608140950214
lfm,50.0,-0.3911403211901643,-0.3911403211901643,-117.26091831250884,0.9956934829508531,-0.03748670844893971
lfm,75.0,-0.5983081348274482,-0.5983081348274482,-179.3682663813161,0.9951981079807379,-0.04180916621437173
lfm,86.8600903895988,-0.6966587706078826,-0.6966587706078826,-208.85304522779526,0.9968782204955836,-0.027157844741358635
lfm,100.0,-0.8038822198748221,-0.8038822198748221,-240.9978266387694,0.9981768632855403,-0.015850017065152728
lfm,125.0,-1.0050517199262003,-1.0050517199262003,-301.30692553380317,0.9990098544379798,-0.008604555661959836
lfm,150.0,-1.20602702129122,-1.20602702129122,-361.5578051273132,0.9976938564103742,-0.02005404135652519
lfm,175.0,-1.4110065253358925,-1.4110065253358925,-423.00911448448653,0.9942339641100651,-0.0502280994657211
lfm,200.0,-1.6217127742795583,-1.6217127742795583,-486.17725877126793,0.9946730670073148,-0.046392827823999325
lfm,225.0,-1.826576359313549,-1.8265763593135491,-547.5938164833,0.9974030143758275,-0.022586471604970446
lfm,250.0,-2.0275248474565615,-2.0275248474565615,-607.8366576750775,0.9979927025895972,-0.017452686009229827
lfm,275.0,-2.2287433564345065,-2.2287433564345065,-668.1604490766707,0.9964398530366972,-0.03097821990450822
lfm,300.0,-2.4344405295429397,-2.4344405295429397,-729.8269102064994,0.9927504657459074,-0.06319801032152582
lfm,325.0,-2.645010973968965,-2.645010973968965,-792.95434132313,0.9941185822339828,-0.05123616440355343
lfm,350.0,-2.84922257086464,-2.84922257086464,-854.1754379085896,0.9966010107726975,-0.029573533891604598
lfm,375.0,-3.0500029319671285,-3.0500029319671285,-914.3678758816322,0.9969487844841711,-0.026543036118526344
lfm,400.0,-3.2515160329913897,-3.2515160329913897,-974.7799837568978,0.9951605621566905,-0.04213686482365072
lfm,425.0,-3.457984658009991,-3.457984658009991,-1036.6777203511047,0.9912432396150642,-0.07639523198132353
lfm,450.0,-3.6682099075385395,-3.6682099075385395,-1099.7016646409313,0.9935348766612471,-0.056337659645554546
lfm,475.0,-3.871827054288474,-3.871827054288474,-1160.744549556041,0.9957710849197522,-0.03680977736136768
lfm,500.0,-4.072491707733775,-4.072491707733775,-1220.902299246126,0.9958783404902795,-0.03587426126332115
sinusoidal_nlfm,-500.0,3.1166583826081933,3.1166583826081933,934.3506772684148,0.9845216682964546,-0.13549442102970402
sinusoidal_nlfm,-475.0,2.96506669683572,2.96506669683572,888.9046331783213,0.9863872725901138,-0.11905080204095587
sinusoidal_nlfm,-450.0,2.8130980042124065,2.8130980042124065,843.3455652777317,0.9861508399886055,-0.12113302035682073
sinusoidal_nlfm,-425.0,2.6578604028834434,2.6578604028834434,796.8065032012978,0.9838021773239316,-0.14184441214032775
sinusoidal_nlfm,-400.0,2.496186755795179,2.496186755795179,748.3379631468825,0.9796374059414903,-0.17869280733220178
sinusoidal_nlfm,-375.0,2.3335528264344703,2.3335528264344703,699.5815377096371,0.9861669958218501,-0.12099072302316752
sinusoidal_nlfm,-350.0,2.177607982814834,2.177607982814834,652.8304497284809,0.9906140935268452,-0.08190995151302488
sinusoidal_nlfm,-325.0,2.0251924650176534,2.0251924650176534,607.1374270107214,0.9929541261859267,-0.061416303093736094
sinusoidal_nlfm,-300.0,1.873395515102402,1.873395515102402,561.6298462787253,0.993170607473077,-0.059522834325663874
sinusoidal_nlfm,-275.0,1.719345144904537,1.719345144904537,515.4467071412972,0.9912552305796967,-0.07629016032853946
sinusoidal_nlfm,-250.0,1.560003282100979,1.560003282100979,467.6772184291199,0.9872079236641523,-0.11182735005363095
sinusoidal_nlfm,-225.0,1.395598048135298,1.395598048135298,418.38976923048335,0.9894290380840574,-0.09230695939203142
sinusoidal_nlfm,-200.0,1.2374957925164836,1.2374957925164836,370.99190540317466,0.9943494059124838,-0.049219628036592605
sinusoidal_nlfm,-175.0,1.0839819852426444,1.0839819852426442,324.9696237836121,0.9971443528008842,-0.024839319487285176
sinusoidal_nlfm,-150.0,0.9320686582627786,0.9320686582627786,279.4271540853604,0.9977993078716728,-0.01913603294410912
sinusoidal_nlfm,-125.0,0.7788805458575325,0.7788805458575325,233.5025133310114,0.9963079713511624,-0.03212789850758137
sinusoidal_nlfm,-100.0,0.6214502255354546,0.6214502255354546,186.30609063792832,0.9926723523095831,-0.06388147651456369
sinusoidal_nlfm,-86.8600903895988,0.5359174618337192,0.5359174618337192,160.66401316825187,0.989904940425552,-0.08813016523677131
sinusoidal_nlfm,-75.0,0.45798303106801086,0.45798303106801086,137.29985860616935,0.9903259940411281,-0.08443642908907027
