first_harmonic,second_harmonic,on_pareto_front,representative,delay_variance_ratio_to_lfm,delay_std_ratio_to_lfm,rms_bandwidth_hz,mainlobe_width_samples,peak_sidelobe_db,peak_sidelobe_amplitude_ratio_to_lfm,integrated_sidelobe_db,integrated_sidelobe_energy_ratio_to_lfm,doppler_coupling_samples_per_hz,doppler_coupling_ratio_to_lfm,doppler_fit_residual_rms_samples
-0.08,0.0,True,,1.1665471339154154,1.08006811540542,33442.00906984352,18,-18.84523428376801,0.5394609048007962,-13.544386196367027,0.4180589321653112,0.008685113114646823,1.0785154582324827,0.0043218162489496
-0.08,0.009999999999999995,True,sidelobe_focused,1.1794413784398745,1.0860208922667531,33258.704292555165,18,-18.91807546094516,0.5349558210562689,-14.050100129875016,0.3721055208196341,0.008736710096427779,1.0849227602116653,0.004546561845622122
-0.08,0.020000000000000004,True,,1.192198552626254,1.0918784513975235,33080.28257651425,18,-17.975766280092746,0.5962568434747627,-14.066895268254559,0.3706692845084719,0.008786108856460074,1.0910570874920433,0.004758565104656719
-0.07,0.0,True,,1.1441255890972803,1.0696380645327093,33768.1024162284,18,-18.707605081582876,0.5480768223666399,-13.181256509151142,0.4545173601734383,0.008604560666857343,1.0685124727799493,0.003991819591005801
-0.07,0.009999999999999995,True,,1.1565262965395027,1.0754191259873997,33586.57739908938,18,-17.77743650325427,0.6100281349940229,-13.551880035621746,0.4173381850205043,0.008654277320310334,1.074686275996192,0.004209232127136364
-0.06,-0.009999999999999995,True,,1.1101254688401785,1.053624918479142,34281.31498975353,18,-17.084986444156446,0.6606514133766965,-12.12325704114422,0.5798964130684666,0.008475254228100007,1.0524552273292722,0.003518018803726
-0.06,0.0,True,,1.1221728915256517,1.0593266217393253,34096.79976901876,18,-17.655368001277957,0.6186617854154817,-12.699294729421586,0.5078630933764691,0.00852468089033636,1.0585930194992836,0.0037061737861690375
-0.06,0.009999999999999995,True,,1.1340998114140581,1.064941224394125,33917.033995924365,18,-16.791011566774237,0.6833939225975555,-12.961882618687198,0.47806600755963635,0.008572241993122858,1.0644991469024276,0.003893555341197893
-0.05,-0.009999999999999995,True,,1.0890914250855448,1.0435954317097909,34610.77599032765,18,-17.125746842129395,0.6575584280071579,-11.78946882882711,0.6262233305987114,0.00839746843606384,1.0427958045866503,0.0032536180480754484
-0.05,0.0,True,,1.1006842532954757,1.049135002416503,34428.02654400189,18,-16.739517853861873,0.6874574106911882,-12.25743712099312,0.562253819618424,0.008445048509155848,1.048704287718208,0.0034308856298012323
-0.05,0.009999999999999995,True,,1.1121564314269647,1.0545882757867948,34249.999303746416,18,-15.926515700973988,0.7549112641593109,-12.439446037354344,0.5391772046748184,0.008490789700870954,1.0543844189601974,0.003607531097193074
