waveform,harmonic_coefficients,duration_us,swept_bandwidth_hz,energy,rms_bandwidth_hz,delay_crlb_snr_db,delay_crlb_std_ns,one_way_crlb_std_m,mainlobe_width_samples,mainlobe_width_us,peak_sidelobe_db,integrated_sidelobe_db,mobile_doppler_hz,mobile_peak_delay_samples,mobile_peak_bias_m,mobile_peak_loss_db
lfm,,1024.0,125000.0,0.9999999999999999,36119.64771143685,20.0,311.57430000072776,93.40762524684759,16,16.0,-13.484433813006527,-9.756761265557056,86.8600903895988,-0.6966587706078826,-208.85304522779526,-0.027157844741358635
sinusoidal_nlfm,0.28;0,1024.0,125000.0,1.0,46402.85681565253,20.0,242.52717880438047,72.70781906557072,12,12.0,-6.682331738443717,0.7355621011002521,86.8600903895988,-0.5359174618337192,-160.66401316825187,-0.08813016523676936
optimized_fm,0.18;-0.06,1024.0,125000.0,1.0,43549.82907945296,20.0,258.41557107909523,77.47103923927567,12,12.0,-10.038109183309514,-1.7870898142593747,86.8600903895988,-0.5772019498485861,-173.04079130750037,-0.06518569969321211
