waveform,harmonic_coefficients,total_pair_energy,energy_snr_db,doppler_hz,trials,up_bias_samples,down_bias_samples,paired_bias_samples,paired_rmse_samples,paired_rmse_m,total_energy_crlb_std_samples,outlier_rate
lfm,0;0,1.0,20.0,0.0,2000,-0.0012735140561523917,0.011178436661424793,0.004952461302636201,0.31188043143323574,93.49940114147022,0.3115743000007278,0.003
balanced_knee,0.1;-0.05,1.0,20.0,0.0,2000,-0.0043336186503082925,-0.005430995022082452,-0.004882306836195372,0.2709161138416419,81.21860768039363,0.27793357089386683,0.0
delay_focused,0.3;0,1.0,20.0,0.0,2000,0.011976716317124471,0.007867550046798932,0.0099221331819617,0.23895574026656366,71.63712872772268,0.23855405511789313,0.0
sidelobe_focused,-0.08;0.01,1.0,20.0,0.0,2000,0.008546369527312527,0.0035764103669529063,0.006061389947132716,0.3371070708941412,101.06215739253486,0.3383761992941794,0.0025
lfm,0;0,1.0,20.0,86.8600903895988,2000,-0.6996596371447068,0.689188613952976,-0.005235511595865381,0.31833122820414633,95.43330136147995,0.3115743000007278,0.0015
balanced_knee,0.1;-0.05,1.0,20.0,86.8600903895988,2000,-0.612906364706251,0.6223700604719622,0.004731847882855583,0.2813743081367924,84.35389545437837,0.27793357089386683,0.0015
delay_focused,0.3;0,1.0,20.0,86.8600903895988,2000,-0.5154188464784845,0.5234047823563067,0.003992967938911056,0.2338816693183901,70.11596052610335,0.23855405511789313,0.0
sidelobe_focused,-0.08;0.01,1.0,20.0,86.8600903895988,2000,-0.757662774272414,0.7476563864045278,-0.005003193933943154,0.337389838208825,101.14692890084596,0.3383761992941794,0.004
