waveform,energy_snr_db,doppler_hz,trials,bias_samples,rmse_samples,rmse_m,crlb_std_samples,crlb_std_m,outlier_rate
lfm,0.0,0.0,2000,-0.5161067530656362,17.54520551274321,5259.920286780436,3.1157430000072774,934.0762524684757,0.889
sinusoidal_nlfm,0.0,0.0,2000,0.038923662110326544,17.473695199454326,5238.482034187213,2.425271788043805,727.0781906557072,0.8825
optimized_fm,0.0,0.0,2000,0.7292474955955298,17.417099226688407,5221.514988398817,2.5841557107909523,774.7103923927567,0.887
lfm,5.0,0.0,2000,0.014734859520043359,12.459402133349721,3735.234790767357,1.7521110475766464,525.2696776419577,0.7035
sinusoidal_nlfm,5.0,0.0,2000,-0.3071371438775226,13.545990537137733,4060.985799173261,1.3638305512353208,408.86611325033175,0.699
optimized_fm,5.0,0.0,2000,0.06951927557353359,13.146939077309131,3941.3531811627563,1.4531775469043928,435.6516686968782,0.6765
lfm,10.0,0.0,2000,0.09533324949836888,3.873362952619851,1161.2050002920428,0.9852844483749021,295.38084660748603,0.3475
sinusoidal_nlfm,10.0,0.0,2000,-0.04544507202424499,4.247707880772877,1273.4307864428717,0.7669382795167544,229.92231195061888,0.2545
optimized_fm,10.0,0.0,2000,-0.11297497643146676,4.13247338377751,1238.8843533422373,0.8171817874630768,244.98493669638938,0.2785
lfm,15.0,0.0,2000,-0.004639534582229613,0.5638578611463698,169.0403341556929,0.5540661623885845,166.10485671710092,0.0735
sinusoidal_nlfm,15.0,0.0,2000,0.007859920570982478,0.43621212161429024,130.773104148143,0.4312810884426581,129.29481759313987,0.0245
optimized_fm,15.0,0.0,2000,0.011288491505652497,0.5132190366920104,153.85919650229,0.4595350892834048,137.7651539535214,0.0285
lfm,20.0,0.0,2000,0.0024239410305280256,0.31620000033146045,94.79437531896934,0.3115743000007278,93.40762524684759,0.0015
sinusoidal_nlfm,20.0,0.0,2000,0.008877769190486216,0.23516370685510962,70.50030571048475,0.24252717880438046,72.70781906557073,0.0
optimized_fm,20.0,0.0,2000,0.010783110976228775,0.2476204574743192,74.23474559731063,0.25841557107909524,77.47103923927568,0.0
lfm,20.0,86.8600903895988,2000,-0.692772868673886,0.7615399939045783,228.30394663795852,0.3115743000007278,93.40762524684759,0.1605
sinusoidal_nlfm,20.0,86.8600903895988,2000,-0.5430486968145044,0.593987754748581,178.0730490179783,0.24252717880438046,72.70781906557073,0.0295
optimized_fm,20.0,86.8600903895988,2000,-0.5809240950813803,0.6367862590473194,190.9037178204206,0.25841557107909524,77.47103923927568,0.053
