first_harmonic,second_harmonic,on_pareto_front,representative,delay_variance_ratio_to_lfm,delay_std_ratio_to_lfm,rms_bandwidth_hz,mainlobe_width_samples,peak_sidelobe_db,peak_sidelobe_amplitude_ratio_to_lfm,integrated_sidelobe_db,integrated_sidelobe_energy_ratio_to_lfm,doppler_coupling_samples_per_hz,doppler_coupling_ratio_to_lfm,doppler_fit_residual_rms_samples
-0.08,-0.08,False,,1.0604763218374378,1.029794310451091,35074.62349021428,20,-9.595681635451506,1.5647235135391917,-4.741663167008659,3.173290341389822,0.008214820768720675,1.0201146569678012,0.002652400795462312
-0.08,-0.07,False,,1.073874122022273,1.0362789788576592,34855.138865456196,20,-10.239230223282014,1.4529818171023163,-5.879727296615075,2.441762372003261,0.00827815172586108,1.0279790814558827,0.0028436825484730558
-0.08,-0.06,False,,1.087261064541995,1.0427181136539228,34639.89666858797,20,-10.978867078031007,1.334376352040098,-7.018370712130171,1.8786204921311107,0.00834039325452833,1.0357082209530346,0.0030404745044117438
-0.08,-0.05,False,,1.1006235165638323,1.049106055918005,34428.97646780895,20,-11.832931240741162,1.209414381472106,-8.165429807443953,1.4425575423951444,0.008401435728462282,1.0432884620941079,0.0032419340858410805
-0.08,-0.04,False,,1.1139472068284695,1.0554369743516046,34222.45817532263,20,-12.826960353175602,1.0786329252650912,-9.325556054318051,1.104385055435597,0.008461166281293583,1.050705789157896,0.003447182355555022
-0.08,-0.03,False,,1.1272172335900033,1.0617048712283481,34020.42195553641,20,-13.976896995095666,0.9448804011793163,-10.493596624814812,0.8439495074923755,0.008519469020236247,1.0579458106034325,0.0036553065774896855
-0.08,-0.020000000000000004,False,,1.1404180763805367,1.0679035894595246,33822.94812747781,18,-15.266525204135197,0.8145081428918428,-11.623306054758391,0.6506471339303447,0.008576225273496425,1.06499378979316,0.0038653632875263627
-0.08,-0.009999999999999995,False,,1.1535336118498052,1.0740268208242312,33630.117061432284,18,-16.84513693054076,0.6791486537175286,-12.682788988963678,0.5097969439007936,0.008631421433321428,1.0718480369193077,0.0040837679818606955
-0.08,0.0,True,,1.1665471339154154,1.08006811540542,33442.00906984352,18,-18.84523428376801,0.5394609048007962,-13.544386196367027,0.4180589321653112,0.008685113114646823,1.0785154582324827,0.0043218162489496
-0.08,0.009999999999999995,True,sidelobe_focused,1.1794413784398745,1.0860208922667531,33258.704292555165,18,-18.91807546094516,0.5349558210562689,-14.050100129875016,0.3721055208196341,0.008736710096427779,1.0849227602116653,0.004546561845622122
-0.08,0.020000000000000004,True,,1.192198552626254,1.0918784513975235,33080.28257651425,18,-17.975766280092746,0.5962568434747627,-14.066895268254559,0.3706692845084719,0.008786108856460074,1.0910570874920433,0.004758565104656719
-0.08,0.03,False,,1.2048003692948677,1.0976339869441305,32906.82335010035,18,-16.885657182437466,0.6759877587779767,-13.583069903813943,0.4143517106568789,0.00883320447353344,1.096905410980538,0.004958352299653291
-0.08,0.039999999999999994,False,,1.217228086168636,1.103280601736764,32738.405492290873,18,-15.932520041698517,0.754389592999594,-12.718280628494936,0.505647732095339,0.00887789098738575,1.102454572554837,0.005146414986106474
-0.08,0.05,False,,1.2294625502548346,1.1088113231090466,32575.107196920868,18,-15.08908207818354,0.8313187707167998,-11.633105039728097,0.6491807339566147,0.008920061785164062,1.1076913330540414,0.005323209316504378
